INDICATOR,GEBIEDSTYPE,GEBIEDSCODE,DATE_FROM,DATE_TO,WAARDE
Trend GLG naar 2050,d_swf_welstandsgebieden,354,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,335,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,340,2020-01-01,,0
Trend GLG naar 2050,d_swf_welstandsgebieden,341,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,342,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,343,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,336,2020-01-01,,-20
Trend GLG naar 2050,d_swf_welstandsgebieden,337,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,338,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,339,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,373,2020-01-01,,3
Trend GLG naar 2050,d_swf_welstandsgebieden,374,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,375,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,376,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,377,2020-01-01,,-17
Trend GLG naar 2050,d_swf_welstandsgebieden,378,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,379,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,305,2020-01-01,,-23
Trend GLG naar 2050,d_swf_welstandsgebieden,306,2020-01-01,,-11
Trend GLG naar 2050,d_swf_welstandsgebieden,307,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,308,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,309,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,386,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,345,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,331,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,332,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,333,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,334,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,281,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,282,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,283,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,284,2020-01-01,,-18
